nid,jid,Last Name,First Name,Middle Name,Suffix,Birth Month,Birth Day,Birth Year,Birth City,Birth State,Death Month,Death Day,Death Year,Death City,Death State,Gender,Race or Ethnicity,Court Type (1),Court Name (1),Appointment Title (1),Appointing President (1),Party of Appointing President (1),Reappointing President (1),Party of Reappointing President (1),ABA Rating (1),Seat ID (1),Statute Authorizing New Seat (1),Recess Appointment Date (1),Nomination Date (1),Committee Referral Date (1),Hearing Date (1),Judiciary Committee Action (1),Committee Action Date (1),Senate Vote Type (1),Ayes/Nays (1),Confirmation Date (1),Commission Date (1),"Service as Chief Judge, Begin (1)","Service as Chief Judge, End (1)","2nd Service as Chief Judge, Begin (1)","2nd Service as Chief Judge, End (1)",Senior Status Date (1),Termination (1),Termination Date (1),Court Type (2),Court Name (2),Appointment Title (2),Appointing President (2),Party of Appointing President (2),Reappointing President (2),Party of Reappointing President (2),ABA Rating (2),Seat ID (2),Statute Authorizing New Seat (2),Recess Appointment Date (2),Nomination Date (2),Committee Referral Date (2),Hearing Date (2),Judiciary Committee Action (2),Committee Action Date (2),Senate Vote Type (2),Ayes/Nays (2),Confirmation Date (2),Commission Date (2),"Service as Chief Judge, Begin (2)","Service as Chief Judge, End (2)","2nd Service as Chief Judge, Begin (2)","2nd Service as Chief Judge, End (2)",Senior Status Date (2),Termination (2),Termination Date (2),Court Type (3),Court Name (3),Appointment Title (3),Appointing President (3),Party of Appointing President (3),Reappointing President (3),Party of Reappointing President (3),ABA Rating (3),Seat ID (3),Statute Authorizing New Seat (3),Recess Appointment Date (3),Nomination Date (3),Committee Referral Date (3),Hearing Date (3),Judiciary Committee Action (3),Committee Action Date (3),Senate Vote Type (3),Ayes/Nays (3),Confirmation Date (3),Commission Date (3),"Service as Chief Judge, Begin (3)","Service as Chief Judge, End (3)","2nd Service as Chief Judge, Begin (3)","2nd Service as Chief Judge, End (3)",Senior Status Date (3),Termination (3),Termination Date (3),Court Type (4),Court Name (4),Appointment Title (4),Appointing President (4),Party of Appointing President (4),Reappointing President (4),Party of Reappointing President (4),ABA Rating (4),Seat ID (4),Statute Authorizing New Seat (4),Recess Appointment Date (4),Nomination Date (4),Committee Referral Date (4),Hearing Date (4),Judiciary Committee Action (4),Committee Action Date (4),Senate Vote Type (4),Ayes/Nays (4),Confirmation Date (4),Commission Date (4),"Service as Chief Judge, Begin (4)","Service as Chief Judge, End (4)","2nd Service as Chief Judge, Begin (4)","2nd Service as Chief Judge, End (4)",Senior Status Date (4),Termination (4),Termination Date (4),Court Type (5),Court Name (5),Appointment Title (5),Appointing President (5),Party of Appointing President (5),Reappointing President (5),Party of Reappointing President (5),ABA Rating (5),Seat ID (5),Statute Authorizing New Seat (5),Recess Appointment Date (5),Nomination Date (5),Committee Referral Date (5),Hearing Date (5),Judiciary Committee Action (5),Committee Action Date (5),Senate Vote Type (5),Ayes/Nays (5),Confirmation Date (5),Commission Date (5),"Service as Chief Judge, Begin (5)","Service as Chief Judge, End (5)","2nd Service as Chief Judge, Begin (5)","2nd Service as Chief Judge, End (5)",Senior Status Date (5),Termination (5),Termination Date (5),Court Type (6),Court Name (6),Appointment Title (6),Appointing President (6),Party of Appointing President (6),Reappointing President (6),Party of Reappointing President (6),ABA Rating (6),Seat ID (6),Statute Authorizing New Seat (6),Recess Appointment Date (6),Nomination Date (6),Committee Referral Date (6),Hearing Date (6),Judiciary Committee Action (6),Committee Action Date (6),Senate Vote Type (6),Ayes/Nays (6),Confirmation Date (6),Commission Date (6),"Service as Chief Judge, Begin (6)","Service as Chief Judge, End (6)","2nd Service as Chief Judge, Begin (6)","2nd Service as Chief Judge, End (6)",Senior Status Date (6),Termination (6),Termination Date (6),Other Federal Judicial Service (1),Other Federal Judicial Service (2),Other Federal Judicial Service (3),Other Federal Judicial Service (4),School (1),Degree (1),Degree Year (1),School (2),Degree (2),Degree Year (2),School (3),Degree (3),Degree Year (3),School (4),Degree (4),Degree Year (4),School (5),Degree (5),Degree Year (5),Professional Career,Other Nominations/Recess Appointments
1379001,409,Chambers,Richard,Harvey, ,11,7,1906,Danville,IL,10,21,1994, , ,Male,White,U.S. Court of Appeals,U.S. Court of Appeals for the Ninth Circuit,Judge,Dwight D. Eisenhower,Republican,,,,CA91001,68 Stat. 8,,4/6/54,4/6/54,4/23/54,Reported (favorably),4/26/54,Voice,  ,4/27/54,4/30/54,1959,1976,,,12/31/76,Death,10/21/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Arizona,A.B.,1929,Stanford Law School,LL.B.,1932,,,,,,,,,,"Private practice, Tucson, Arizona, 1932-1942, 1945-1954; U.S. Army major, Air Corps, 1942-1945; Member, Judicial Conference of the United States, 1959-1976",
1390451,2722,Chambers,Robert,Charles, ,,,1952,Williamson,WV,,,, , ,Male,White,U.S. District Court,U.S. District Court for the Southern District of West Virginia,Judge,William J. Clinton,Democratic,,,Qualified,WVSD0403, ,,6/5/97,6/5/97,7/22/97,Reported (favorably),7/31/97,Voice,  ,9/5/97,9/18/97,2012,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marshall University,A.B.,1974,West Virginia University College of Law,J.D.,1977,,,,,,,,,,"Private practice, Charleston, West Virginia, 1977-1978, 1978-1997; Legal counsel, West Virginia State Senate, 1978; State delegate, West Virginia, 1978-1996",
1379006,410,Chandler,Stephen,Sanders,Jr.,9,13,1899,Blount County,TN,4,27,1989, , ,Male,White,U.S. District Court,U.S. District Court for the Western District of Oklahoma,Judge,Franklin D. Roosevelt,Democratic,,,,OKWD0301,54 Stat. 219,,2/1/43,2/1/43,,Reported (favorably),5/3/43,Roll Call, 37/28,5/10/43,5/13/43,1956,1969,,,10/20/75,Death,4/27/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Kansas School of Law,LL.B.,1922,,,,,,,,,,,,,"Private practice, Oklahoma City, Oklahoma, 1922-1943; Law faculty, Oklahoma City University, 1957-1960","Nominated to U.S. District Court for the Western District of Oklahoma, December 11, 1942; no Senate vote"
1393546,3342,Chang,Edmond,E-Min, ,,,1970,New York,NY,,,, , ,Male,Asian American,U.S. District Court,U.S. District Court for the Northern District of Illinois,Judge,Barack Obama,Democratic,,,Qualified,ILND1104, ,,4/21/10,4/21/10,7/15/10,Reported (favorably),8/5/10,Voice,  ,12/18/10,12/20/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Michigan,B.S.E.,1991,Northwestern University School of Law (now Pritzker School of Law),J.D.,1994,,,,,,,,,,"Law clerk, Hon. James L. Ryan, U.S. Court of Appeals for the Sixth Circuit, 1994-1995; Law clerk, Hon. Marvin E. Aspen, U.S. District Court, Northern District of Illinois, 1995-1997; Private practice, Chicago, Illinois, 1997-1999; Assistant U.S. attorney, Northern District of Illinois, 1999-2010",
1379011,411,Chapman,Robert,Foster, ,4,24,1926,Inman,SC,4,18,2018,Spartanburg,SC,Male,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Richard M. Nixon,Republican,,,Qualified,SCD0601,84 Stat. 294,,5/18/71,5/18/71,5/26/71,Reported (favorably),5/26/71,Voice,  ,5/26/71,5/27/71,,,,,,Appointment to Another Judicial Position,10/2/81,U.S. Court of Appeals,U.S. Court of Appeals for the Fourth Circuit,Judge,Ronald Reagan,Republican,,,Well Qualified,CA40405, ,,7/16/81,7/16/81,7/28/81,Reported (favorably),9/15/81,Voice,  ,9/16/81,9/19/81,,,,,5/31/91,Death,4/18/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of South Carolina,B.S.,1945,University of South Carolina School of Law,LL.B.,1949,,,,,,,,,,"U.S. Navy ensign, 1943-1946; Private practice, Spartanburg, South Carolina, 1949-1951, 1953-1971; U.S. Navy lieutenant, 1951-1953",
1394206,3475,Chappell,Sheri,Polster, ,,,1962,Sheboygan,WI,,,, , ,Female,White,U.S. District Court,U.S. District Court for the Middle District of Florida,Judge,Barack Obama,Democratic,,,Qualified,FLMD1402, ,,1/4/13,1/4/13,,Reported (favorably),3/7/13,Roll Call, 90/0,5/20/13,5/22/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U.S. Magistrate Judge, U.S. District Court for the Middle District of Florida, 2003-2013",,,,University of Wisconsin,B.A.,1984,Nova University (now Nova Southeastern University) Shepard Broad Law Center,J.D.,1987,,,,,,,,,,"Assistant state attorney, Twentieth Judicial Circuit, Florida, 1987-2000; Judge, Circuit Court of Florida, Twentieth Judicial Circuit, 2000-2003","Nominated to U.S. District Court for the Middle District of Florida, June 25, 2012; no Senate vote"
1379016,412,Chasanow,Deborah,K., ,,,1948,Washington,DC,,,, , ,Female,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,William J. Clinton,Democratic,,,Well Qualified,MDD0503, ,,8/6/93,8/6/93,10/7/93,Reported (favorably),10/14/93,Voice,  ,10/18/93,10/20/93,2010,2014,,,10/3/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U.S. Magistrate/U.S. Magistrate Judge, U.S. District Court for the District of Maryland, 1987-1993",,,,Rutgers University,B.A.,1970,Stanford Law School,J.D.,1974,,,,,,,,,,"Law clerk, Hon. David L. Cahoon, Maryland Circuit Court, Montgomery County, 1974-1975; Private practice, Washington, D.C., 1975; Assistant attorney general, State of Maryland, 1975-1987; chief, Criminal Appeals Division, 1979-1987; Member, Judicial Conference of the United States, 2011-2016",
1379021,413,Chase,Harrie,Brigham, ,8,9,1889,Whitingham,VT,11,17,1969,Vernon,VT,Male,White,U.S. Court of Appeals,U.S. Court of Appeals for the Second Circuit,Judge,Calvin Coolidge,Republican,,,,CA20701,45 Stat. 1081,,1/19/29,1/19/29,,Reported (favorably),1/31/29,Voice,  ,1/31/29,1/31/29,1953,1954,,,9/1/54,Death,11/17/69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dartmouth College,A.B.,1909,Boston University School of Law,LL.B.,1912,,,,,,,,,,"Private practice, Brattleboro, Vermont, 1912-1919; State's attorney, Windham County, Vermont, 1919; Judge, Vermont Superior Court, 1919-1927; chief judge, 1926-1927; Associate justice, Vermont Supreme Court, 1927-1929; Member, Judicial Conference of the United States, 1953-1954",
1379026,414,Chase,Salmon,Portland, ,1,13,1808,Cornish,NH,5,7,1873,New York,NY,Male,White,Supreme Court,Supreme Court of the United States,Chief Justice,Abraham Lincoln,Republican,,,,SCT0106, ,,1864-12-06,,,Not Referred to Committee,,Voice,  ,1864-12-06,1864-12-06,,,,,,Death,1873-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dartmouth College,B.A.,1826,Read law,,1829,,,,,,,,,,"Private practice, Cincinnati, Ohio, 1829-1849; U.S. senator from Ohio, 1849-1855, 1861; Governor, Ohio, 1856-1860; Secretary of the Treasury, 1861-1864",
1379031,415,Chase,Samuel, , ,4,17,1741,Somerset County,MD,6,19,1811,Baltimore,MD,Male,White,Supreme Court,Supreme Court of the United States,Associate Justice,George Washington,,,,,SCT0502, ,,1796-01-26,,,"No Committee before December 10, 1816",,Voice,  ,1796-01-27,1796-01-27,,,,,,Death,1811-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read law,,1763,,,,,,,,,,,,,"Member, Lower House, Maryland Proprietary Assembly, 1764-1774; Convention member, Maryland Provisional Government, 1774-1776; State delegate, Maryland, 1777-1788; Delegate, Continental Congress, 1774-1778, 1784, 1785; Judge, Baltimore County [Maryland] Criminal Court, 1788-1796; Chief judge, Maryland General Court, 1791-1796",
1379041,417,Chatfield,Thomas, , ,10,4,1871,Owego,NY,12,24,1922,Brooklyn,NY,Male,White,U.S. District Court,U.S. District Court for the Eastern District of New York,Judge,Theodore Roosevelt,Republican,,,,NYED0104, ,,12/13/06,12/13/06,,Reported (favorably),1/8/07,Voice,  ,1/9/07,1/9/07,,,,,,Death,12/24/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yale College,A.B.,1893,Columbia Law School,LL.B.,1896,,,,,,,,,,"Private practice, New York City, 1896-1906; Assistant U.S. attorney, Eastern District of New York, 1902-1906","Nominated to U.S. District Court for the Eastern District of New York, December 10, 1906; nomination withdrawn by president, December 17, 1906"
1379036,416,Chatigny,Robert,N., ,,,1951,Taunton,MA,,,, , ,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,William J. Clinton,Democratic,,,Well Qualified,CTD0502, ,,8/5/94,8/5/94,9/14/94,Reported (favorably),9/22/94,Voice,  ,9/28/94,9/29/94,2003,2009,,,12/31/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown University,A.B.,1973,Georgetown University Law Center,J.D.,1978,,,,,,,,,,"Law clerk, Hon. Samuel Conti, U.S. District Court, Northern District of California, 1979-1980; Law clerk, Hon. JoséCabranes, U.S. District Court, District of Connecticut, 1980; Law clerk, Hon. Jon Newman, U.S. Court of Appeals for the Second Circuit, 1980-1981; Private practice, Washington, D.C., 1981-1983; Private practice, Hartford, Connecticut, 1984-1994","Nominated to U.S. Court of Appeals for the Second Circuit, February 24, 2010; no Senate vote; Nominated to U.S. Court of Appeals for the Second Circuit, September 13, 2010; no Senate vote"
13761911,13761911,Cheeks,Benjamin,Jerome,,,,1977,Albany,GA,,,,,,Male,African American,U.S. District Court,U.S. District Court for the Southern District of California,Judge,Joseph R. Biden,Democratic,,,Qualified,CASD1905,,,11/18/24,11/18/24,11/20/24,Reported (favorably),12/12/24,Roll Call, 49/47,12/20/24,1/9/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U.S. Magistrate Judge, U.S. District Court for the Southern District of California, 2024-2025",,,,University of Miami,B.A.,2000,"American University, Washington College of Law",J.D.,2003,,,,,,,,,,"Assistant district attorney, New York City, 2003-2010; Assistant U.S. attorney, Southern District of California, 2010-2013; Adjunct professor, Thomas Jefferson School of Law, 2012-2013; Private practice, San Diego, California, 2013-2024; Adjunct professor, California Western School of Law, 2014-2022",
1393696,3372,Chen,Edward,Milton, ,,,1953,Oakland,CA,,,, , ,Male,Asian American,U.S. District Court,U.S. District Court for the Northern District of California,Judge,Barack Obama,Democratic,,,Well Qualified,CAND1205, ,,1/5/11,1/5/11,,Reported (favorably),3/17/11,Roll Call, 56/42,5/10/11,5/12/11,,,,,5/17/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U.S. Magistrate Judge, U.S. District Court for the Northern District of California, 2001-2011",,,,"University of California, Berkeley",A.B.,1975,"University of California, Berkeley, School of Law",J.D.,1979,,,,,,,,,,"Law clerk, Hon. Charles B. Renfrew, U.S. District Court, Northern District of California, 1979-1980; Attorney, Asian Law Caucus, San Francisco, California, 1980-1981; Law clerk, Hon. James R. Browning, U.S. Court of Appeals for the Ninth Circuit, 1981-1982; Private practice, San Francisco, California, 1982-1985; Staff attorney, American Civil Liberties Union Foundation of Northern California, 1985-2001","Nominated to U.S. District Court for the Northern District of California, August 6, 2009; no Senate vote; Nominated to U.S. District Court for the Northern District of California, January 20, 2010; no Senate vote; Nominated to U.S. District Court for the Northern District of California, September 13, 2010; no Senate vote"
1394131,3460,Chen,Pamela,Ki Mai, ,,,1961,Chicago,IL,,,, , ,Female,Asian American,U.S. District Court,U.S. District Court for the Eastern District of New York,Judge,Barack Obama,Democratic,,,Qualified,NYED1202, ,,1/4/13,1/4/13,,Reported (favorably),2/14/13,Voice,  ,3/4/13,3/5/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Michigan,B.A.,1983,Georgetown University Law Center,J.D.,1986,,,,,,,,,,"Private practice, Washington, D.C., 1986-1991; Trial attorney, Special Litigation Section, Civil Rights Division, U.S. Department of Justice, 1991-1998; senior trial attorney, 1992-1998; Assistant U.S. attorney, Eastern District of New York, 1998-2007, 2008-2013; chief, Civil Rights Litigation Unit, 2003-2006; deputy chief, Public Integrity Section, 2006-2007; chief, Civil Rights Section, 2006-2007, 2008-2013; Deputy commissioner for enforcement, New York State Division of Human Rights, 2008","Nominated to U.S. District Court for the Eastern District of New York, August 2, 2012; no Senate vote"
1394261,3486,Chen,Raymond,T., ,,,1968,New York,NY,,,, , ,Male,Asian American,U.S. Court of Appeals,U.S. Court of Appeals for the Federal Circuit,Judge,Barack Obama,Democratic,,,Well Qualified,CAFC0403, ,,2/7/13,2/7/13,4/24/13,Reported (favorably),5/16/13,Roll Call, 97/0,8/1/13,8/2/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles",B.S.,1990,New York University School of Law,J.D.,1994,,,,,,,,,,"Private practice, Irvine, California, 1994-1996; Technical assistant, U.S. Court of Appeals for the Federal Circuit, 1996-1998; U.S. Patent and Trademark Office, 1998-2013; associate solicitor, 1998-2008; deputy general counsel for intellectual property law and solicitor, 2008-2013",
1390416,2714,Cheney,John,Moses, ,1,6,1859,Milwaukee,WI,6,2,1922,Orlando,FL,Male,White,U.S. District Court,U.S. District Court for the Southern District of Florida,Judge,William H. Taft,Republican,,,,FLSD0105, ,8/26/12,12/3/12,12/3/12,,Reported (favorably),3/1/13,,  ,,,,,,,,Recess Appointment-Not Confirmed,3/3/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston University School of Law,LL.B.,1885,,,,,,,,,,,,,"Private practice, Orlando, Florida, 1886-1906, 1913-1922; City attorney, Orlando, Florida, 1889-1890; Supervisor, U.S. Census, Florida, 1900; Owner, Orlando Light and Water Company, 1901-1922; U.S. attorney for the Southern District of Florida, 1906-1912","Nominated to U.S. District Court for the Southern District of Florida, July 25, 1912; no Senate vote; Nominated to U.S. District Court for the Southern District of Florida, December 3, 1912; no Senate vote"
1391851,3003,Chertoff,Michael, , ,,,1953,Elizabeth,NJ,,,, , ,Male,White,U.S. Court of Appeals,U.S. Court of Appeals for the Third Circuit,Judge,George W. Bush,Republican,,,Well Qualified,CA30805, ,,3/5/03,3/5/03,5/7/03,Reported (favorably),5/22/03,Roll Call, 88/1,6/9/03,6/10/03,,,,,,Resignation,2/15/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harvard College,A.B.,1975,Harvard Law School,J.D.,1978,,,,,,,,,,"Law clerk, Hon. Murray Gurfein, U.S. Court of Appeals for the Second Circuit, 1978-1979; Law clerk, Hon. William J. Brennan, Jr., Supreme Court of the United States, 1979-1980; Private practice, Newark, New Jersey, 1980-1983, 1994-2001; Assistant U.S. attorney, Southern District of New York, 1983-1987; First assistant U.S. attorney, District of New Jersey, 1987-1990; U.S. attorney for the District of New Jersey, 1990-1994; Special counsel, U.S. Senate Whitewater Committee, 1994-1996; Assistant attorney general, U.S Department of Justice, 2001-2003; Secretary of Homeland Security, 2005-2009",
1391651,2963,Chesler,Stanley,R., ,,,1947,Brooklyn,NY,,,, , ,Male,White,U.S. District Court,U.S. District Court for the District of New Jersey,Judge,George W. Bush,Republican,,,Well Qualified,NJD1302, ,,1/23/02,1/23/02,9/26/02,Reported (favorably),10/8/02,Voice,  ,11/14/02,12/4/02,,,,,6/15/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U.S. Magistrate/U.S. Magistrate Judge, U.S. District Court for the District of New Jersey, 1987-2002",,,,"State University of New York at Binghamton, Harpur College",B.A.,1968,St. John's University School of Law,J.D.,1974,,,,,,,,,,"Assistant district attorney, Bronx County, New York, 1974-1980; Special attorney, Organized Crime Strike Force, U.S. Department of Justice, Newark, New Jersey, 1980-1986; Assistant U.S. attorney, District of New Jersey, 1986-1987",
1379046,418,Chesney,Maxine,M., ,,,1942,San Francisco,CA,,,, , ,Female,White,U.S. District Court,U.S. District Court for the Northern District of California,Judge,William J. Clinton,Democratic,,,Well Qualified,CAND0406, ,,1/24/95,1/24/95,3/28/95,Reported (favorably),4/7/95,Voice,  ,5/8/95,5/10/95,,,,,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",B.A.,1964,"University of California, Berkeley, School of Law",J.D.,1967,,,,,,,,,,"Office of the District Attorney, San Francisco, California, 1968-1979; trial attorney, 1968-1969; senior trial attorney, 1969-1971; principal trial attorney, 1971-1976; head trial attorney, 1976; assistant chief deputy, 1976-1979; Judge, San Francisco [California] Municipal Court, 1979-1983; Judge, Superior Court of California, City and County of San Francisco (appointed and subsequently elected), 1983-1995","Nominated to U.S. District Court for the Northern District of California, September 14, 1994; no Senate vote"
1379051,419,Chesnut,William,Calvin, ,6,27,1873,Baltimore,MD,10,16,1962,Baltimore,MD,Male,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Herbert Hoover,Republican,,,,MDD0203, ,5/9/31,12/15/31,12/15/31,,Reported (favorably),1/11/32,Voice,  ,1/12/32,1/12/32,,,,,7/31/53,Death,10/16/62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johns Hopkins University,A.B.,1892,University of Maryland School of Law (now Francis King Carey School of Law),LL.B.,1894,,,,,,,,,,"Assistant state's attorney, Baltimore, Maryland, 1896-1899; Private practice, Baltimore, Maryland, 1899-1931; Lecturer, University of Maryland School of Law, 1911-1931",
1394381,3510,Chhabria,Vince,Girdhari, ,,,1969,San Francisco,CA,,,, , ,Male,Asian American,U.S. District Court,U.S. District Court for the Northern District of California,Judge,Barack Obama,Democratic,,,Well Qualified,CAND0308, ,,1/6/14,1/6/14,,Reported (favorably),1/16/14,Roll Call, 58/41,3/5/14,3/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of California, Santa Cruz",B.A.,1991,"University of California, Berkeley, School of Law",J.D.,1998,,,,,,,,,,"Staff member, U.S. Rep. Lynn C. Woolsey of California, 1992-1995; campaign field coordinator, Petaluma, California, 1992; legislative assistant, Washington, D.C., 1993-1994, 1995; deputy campaign manager, Petaluma, California, 1994; Law clerk, Hon. Charles R. Breyer, U.S. District Court, Northern District of California, 1998-1999; Law clerk, Hon. James R. Browning, U.S. Court of Appeals for the Ninth Circuit, 1999-2000; Private practice, San Francisco, California, 2001, 2002-2004; Law clerk, Hon. Stephen G. Breyer, Supreme Court of the United States, 2001-2002; Deputy city attorney for government litigation, San Francisco, California, 2005-2014; co-chief of appellate litigation, 2011-2014","Nominated to U.S. District Court for the Northern District of California, July 25, 2013; no Senate vote"
